# 声母频率

y    9.426%
d    8.914%
j    7.681%
u    7.332%
v    6.454%
x    6.359%
g    5.286%
h    4.939%
l    4.845%
b    4.195%
w    3.959%
t    3.361%
z    3.319%
q    3.147%
i    3.132%
f    3.054%
m    2.854%
r    2.242%
n    2.186%
k    2.021%
s    1.604%
p    1.458%
c    1.309%
e    0.426%
a    0.404%
o    0.093%

# 韵母频率

eng  3.077%
en   3.485%
in   2.807%
ing  3.965%
iong 0.036%
uai  0.160%
v    0.294%
er   0.372%
ua   0.624%
uang 0.698%
o    0.867%
iu   0.953%
un   1.039%
ia   1.089%
ue   1.110%
ie   1.321%
iang 1.537%
iao  1.814%
ui   1.882%
ei   2.762%
a    2.915%
uo   2.997%
uan  3.124%
ao   3.263%
ai   3.367%
ou   3.428%
ang  3.698%
an   4.251%
ian  4.355%
ong  4.645%
u    8.970%
e    9.221%
i    15.872%

# 韵母频率（网文八亿字统计）：

i    | 130543547
e    | 101023280
u    | 50104215
a    | 37563979
o    | 9803604

an   | 35225883
en   | 34752878
ai   | 34721474
ao   | 33514646
ou   | 32341038
ian  | 29781744
ang  | 25982495
ing  | 25219039
ong  | 22943648
uo   | 22213285
ei   | 20912427
eng  | 20302853
ui   | 15439318
ü    | 14384893
uan  | 13266491
in   | 12849352
iang | 12503403
iu   | 11061773
iao  | 10542120
ie   | 10498867
ia   | 7757490
ue   | 6322511
er   | 4896172
uang | 4511498
un   | 4409736
ua   | 3940187
vn   | 2892391
uai  | 1932284
iong | 722032
ve   | 164877

合计 805045：430

